priority,gene_id,ec_number,mnxr_id,bigg_reaction,kegg_reaction,missing_metabolites_count,missing_metabolites,equation
P3,YALI1A09939g,2.5.1.21,MNXR178594,,,2,MNXM738583|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM738583@MNXD1 = 1 MNXM11@MNXD1 + 1 MNXM1363956@MNXD1 + 1 MNXM8@MNXD1
P3,YALI1A09939g,2.5.1.21,MNXR146468,SS,,1,MNXM738585,1 MNXM11@MNXD1 + 1 MNXM1363956@MNXD1 + 1 MNXM5@MNXD1 = 1 MNXM738585@MNXD1 + 1 MNXM738702@MNXD1
P3,YALI1A09939g,2.5.1.21,MNXR123706,,,3,MNXM137|MNXM162231|MNXM738583,1 MNXM11@MNXD1 + 1 MNXM1363956@MNXD1 + 1 MNXM137@MNXD1 = 1 MNXM162231@MNXD1 + 1 MNXM738583@MNXD1
P3,YALI1A15227g,1.1.1.1,MNXR146257,R_RDH4,,3,MNXM1363774|MNXM1364168|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1364168@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM1363774@MNXD1 + 1 MNXM8@MNXD1
P3,YALI1A15227g,1.1.1.1,MNXR95718,R_ALCD23xim,,3,MNXM5188|MNXM5189|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM5189@MNXD1 = 1 MNXM5188@MNXD1 + 1 MNXM8@MNXD1
P3,YALI1A15879g,1.1.1.23,MNXR135087,,,2,MNXM735455|MNXM8,2 MNXM10@MNXD1 + 1 MNXM1107769@MNXD1 = 1 MNXM735455@MNXD1 + 2 MNXM8@MNXD1 + 1 WATER@MNXD1
P3,YALI1A15879g,1.1.1.23,MNXR129837,,,3,MNXM167982|MNXM732015|MNXM8,2 MNXM10@MNXD1 + 1 MNXM732015@MNXD1 = 1 MNXM167982@MNXD1 + 2 MNXM8@MNXD1 + 1 WATER@MNXD1
P3,YALI1A15879g,3.6.1.31,MNXR180487,,,2,MNXM589173|MNXM729422,1 MNXM11@MNXD1 + 1 MNXM729422@MNXD1 = 1 MNXM589173@MNXD1 + 1 WATER@MNXD1
P3,YALI1A16642g,5.3.1.23,MNXR171635,,,2,MNXM5554|MNXM747734,1 MNXM5554@MNXD1 = 1 MNXM747734@MNXD1
P3,YALI1A16642g,5.3.1.23,MNXR188462,,,1,MNXM1103417,1 MNXM1103417@MNXD1 = 1 MNXM737603@MNXD1
P3,YALI1A18062g,1.14.19.41,MNXR149946,,,3,MNXM1371567|MNXM728238|MNXM729100,1 MNXM1371567@MNXD1 + 1 MNXM728238@MNXD1 + 1 MNXM735438@MNXD1 = 1 MNXM729100@MNXD1 + 1 MNXM739074@MNXD1 + 2 WATER@MNXD1
P3,YALI1A18062g,1.14.19.41,MNXR184753,,,3,MNXM35629|MNXM728242|MNXM729101,1 MNXM1370963@MNXD1 + 1 MNXM729101@MNXD1 + 2 WATER@MNXD1 = 1 MNXM35629@MNXD1 + 1 MNXM728242@MNXD1 + 1 MNXM735438@MNXD1
P3,YALI1A18062g,1.14.19.41,MNXR193457,,,3,MNXM728238|MNXM729100|MNXM731577,1 MNXM1370963@MNXD1 + 1 MNXM729100@MNXD1 + 2 WATER@MNXD1 = 1 MNXM728238@MNXD1 + 1 MNXM731577@MNXD1 + 1 MNXM735438@MNXD1
P3,YALI1A18062g,1.14.19.41,MNXR123636,,,2,MNXM728238|MNXM729100,1 MNXM1109@MNXD1 + 1 MNXM729100@MNXD1 + 2 WATER@MNXD1 = 1 MNXM1370323@MNXD1 + 1 MNXM728238@MNXD1 + 1 MNXM735438@MNXD1
P3,YALI1A18062g,1.14.19.41,MNXR151963,,,3,MNXM35629|MNXM728238|MNXM729100,1 MNXM1370963@MNXD1 + 1 MNXM729100@MNXD1 + 2 WATER@MNXD1 = 1 MNXM35629@MNXD1 + 1 MNXM728238@MNXD1 + 1 MNXM735438@MNXD1
P3,YALI1A22129g,3.5.1.19,MNXR149441,,,3,MNXM729302|MNXM739620|MNXM94421,1 MNXM729302@MNXD1 + 1 MNXM739620@MNXD1 = 1 MNXM94421@MNXD1 + 1 WATER@MNXD1
P3,YALI1B02733g,3.1.1.5,MNXR101146,R_LPLIPAL1A180pp,,3,MNXM236|MNXM66|MNXM734212,1 MNXM1@MNXD1 + 1 MNXM236@MNXD1 + 1 MNXM66@MNXD1 = 1 MNXM734212@MNXD1 + 1 WATER@MNXD1
P3,YALI1B02733g,3.1.1.5,MNXR101141,R_LPLIPAL1A120pp,,3,MNXM1103432|MNXM402|MNXM66,1 MNXM1103432@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM402@MNXD1 + 1 MNXM66@MNXD1
P3,YALI1B02733g,3.1.1.5,MNXR145466,R_LPLIPAL2E160,,3,MNXM108|MNXM1364224|MNXM34810,1 MNXM108@MNXD1 + 1 MNXM1364224@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM34810@MNXD1 + 1 WATER@MNXD1
P3,YALI1B02733g,3.1.1.5,MNXR101162,R_LPLIPAL2A120,,3,MNXM402|MNXM5461|MNXM66,1 MNXM402@MNXD1 + 1 MNXM66@MNXD1 = 1 MNXM5461@MNXD1 + 1 WATER@MNXD1
P3,YALI1B02733g,3.1.1.5,MNXR101164,R_LPLIPAL2A141,,2,MNXM5490|MNXM66,1 MNXM1364443@MNXD1 + 1 MNXM66@MNXD1 = 1 MNXM5490@MNXD1 + 1 WATER@MNXD1
P3,YALI1B02733g,3.1.1.5,MNXR145468,R_LPLIPAL2E180,,3,MNXM1364224|MNXM236|MNXM34811,1 MNXM1364224@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM236@MNXD1 = 1 MNXM34811@MNXD1 + 1 WATER@MNXD1
P3,YALI1B02733g,3.1.1.5,MNXR195490,R_LPLIPAL2A160,,3,MNXM108|MNXM1370217|MNXM66,1 MNXM108@MNXD1 + 1 MNXM66@MNXD1 = 1 MNXM1370217@MNXD1 + 1 WATER@MNXD1
P3,YALI1B02733g,3.1.1.5,MNXR145464,R_LPLIPAL1A160pp,,3,MNXM108|MNXM66|MNXM732965,1 MNXM108@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM66@MNXD1 = 1 MNXM732965@MNXD1 + 1 WATER@MNXD1
P3,YALI1B02733g,3.1.1.5,MNXR101155,R_LPLIPAL1G120pp,,3,MNXM1106891|MNXM147673|MNXM402,1 MNXM1106891@MNXD1 + 2 MNXM1@MNXD1 + 1 MNXM402@MNXD1 = 1 MNXM147673@MNXD1 + 1 WATER@MNXD1
