base_id,name,bigg_id,kegg_id,formula,charge,confidence
m226,Trans hex-2-enoyl-coa,thex2encoa,C17279,C47H84N7O17P3S,,database
m227,(E)-hexadec-2-enoyl-CoA,hd2coa,C05272,C37H60N7O17P3S,-4.0,database
m228,Stearoyl-CoA,srcoa,C00412,C39H67N7O17P3S,,database
m229,Trans-Octadec-2-enoyl-CoA,od2coa,C16218,C39H64N7O17P3S,-4.0,database
m230,Trans tetradec-2-enoyl-coa,ttetdec2enoylcoa,C05273,C35H60N7O17P3S,,database
m231,Caffeoyl-CoA,caffcoa,C00510,C30H38N7O19P3S,-4.0,database
m232,Episterol C28H46O,epist,C15777,C28H46O,0.0,database
m233,Coenzyme A,coa,C00010,C21H32N7O16P3S,0.0,database
m234,Episterol C28H46O,epist,,C28H46O,0.0,database
m235,Ergosterol C28H44O,ergst,C01694,C28H44O,0.0,database
m236,ergosteryl oleate,,,C46H76O2,0.0,medium
m237,Fecosterol C28H46O,fecost,C04525,C28H46O,0.0,database
m238,Fecosterol C28H46O,fecost,,C28H46O,0.0,database
m239,Lanosterol C30H50O,lanost,C01724,C30H50O,0.0,database
m240,Lanosterol C30H50O,lanost,,C30H50O,0.0,database
m241,Zymosterol C27H44O,zymst,C05103,C27H44O,0.0,database
m242,zymosteryl oleate,,C15441,C45H76O2,,database
m243,Palmitoyl-CoA,palmcoa,C21072,C37H66N7O17P3S,-3.0,database
m244,Episterol C28H46O,epist,,C28H46O,0.0,database
m245,ergosteryl palmitoleate,,,C44H72O2,0.0,medium
m246,Fecosterol C28H46O,fecost,,C28H46O,0.0,database
m247,Lanosterol C30H50O,lanost,,C30H50O,0.0,database
m248,zymosteryl palmitoleate,,,C43H72O2,0.0,medium
m249,6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol,gpail_cho,C04248,C15H28NO13PRCO2R2CO2,0.0,database
m250,Palmitoyl-CoA,palmcoa,C00154,C37H66N7O17P3S,-3.0,database
m251,6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol,gpail_cho,,C15H28NO13PRCO2R2CO2,0.0,database
