class,mnxm,met_id,model_formula,metanetx_formula,metanetx_charge,H_diff,met_name
only_H,MNXM1104012,m186[C_pe],C45H82N7O17P3S,C45H78N7O17P3S,-4,4,tetracosanoyl-CoA_C45H82N7O17P3S
only_H,MNXM1103802,m189[C_cy],C25H40N7O18P3S,C25H36N7O18P3S,-4,4,acetoacetyl-CoA_C25H40N7O18P3S
only_H,MNXM1104685,m192[C_pe],C31H52N7O18P3S,C31H48N7O18P3S,-4,4,3-oxodecanoyl-CoA_C31H52N7O18P3S
only_H,MNXM1093479,m193[C_pe],C29H50N7O17P3S,C29H46N7O17P3S,-4,4,octanoyl-CoA_C29H50N7O17P3S
only_H,MNXM1092836,m195[C_pe],C31H54N7O17P3S,C31H50N7O17P3S,-4,4,decanoyl-CoA_C31H54N7O17P3S
only_H,MNXM1106093,m198[C_mi],C24H38N7O19P3S,C24H33N7O19P3S,-5,5,malonyl-CoA_C24H38N7O19P3S
only_H,MNXM26,m201[C_mi],C2H4O2,C2H3O2,-1,1,acetate_C2H4O2
only_H,MNXM11,m203[C_cy],H4O7P2,HO7P2,-3,3,diphosphate_H4O7P2
only_H,MNXM1370620,m211[C_mi],C7H11NO5,C7H9NO5,-2,2,N-acetyl-L-glutamate_C7H11NO5
only_H,MNXM270,m216[C_ex],C17H20N4O6,C17H19N4O6,-1,1,riboflavin_C17H20N4O6
only_H,MNXM1103553,m260[C_mi],C10H16N5O14P3,C10H12N5O14P3,-4,4,GTP_C10H16N5O14P3
only_H,MNXM1103285,m261[C_mi],C10H15N5O11P2,C10H12N5O11P2,-3,3,GDP_C10H15N5O11P2
only_H,MNXM737340,m264[C_cy],C4H4O4,C4H2O4,-2,2,fumarate_C4H4O4
only_H,MNXM1364497,m267[C_cy],C4H7NO4,C4H6NO4,-1,1,L-aspartate_C4H7NO4
only_H,MNXM1103086,m269[C_cy],C10H14N5O10PS,C10H12N5O10PS,-2,2,5'-adenylyl sulfate_C10H14N5O10PS
only_H,MNXM69,m271[C_cy],C2H2O3,C2HO3,-1,1,glyoxylate_C2H2O3
only_H,MNXM736082,m280[C_cy],C3H7NO,C3H8NO,1,-1,3-aminopropanal_C3H7NO
only_H,MNXM1369355,m282[C_cy],C9H16N5O13P3,C9H12N5O13P3,-4,4,"7,8-dihydroneopterin 3'-triphosphate_C9H16N5O13P3"
only_H,MNXM584,m284[C_cy],C4H8N4O4,C4H7N4O4,-1,1,allantoate_C4H8N4O4
only_H,MNXM1364111,m296[C_cy],C6H13O9P,C6H11O9P,-2,2,D-glucose 6-phosphate_C6H13O9P
only_H,MNXM2617,m298[C_cy],C5H12N4O,C5H13N4O,1,-1,4-guanidinobutanamide_C5H12N4O
only_H,MNXM422,m303[C_mi],C4H9NO,C4H10NO,1,-1,4-aminobutanal_C4H9NO
only_H,MNXM188,m305[C_cy],C7H7NO2,C7H6NO2,-1,1,anthranilate_C7H7NO2
only_H,MNXM739527,m310[C_cy],C6H14N4O2,C6H15N4O2,1,-1,L-arginine_C6H14N4O2
only_H,MNXM741174,m311[C_cy],C5H13N2O2,C5H12N2O2,0,1,ornithine_C5H13N2O2
only_H,MNXM1177,m327[C_cy],C4H8NO7P,C4H6NO7P,-2,2,4-phospho-L-aspartate_C4H8NO7P
